username,star,time,content,img_url
文森Vincent,2,2019-03-07 17:40:10,实在还是不太适合院线观影，虽然剧场版的剧作保持住了TV版的中等单集水准，并且整个画风更为精致饱满，但作为一部情节上并不戏剧化、视觉上并不激进的治愈系动画，《夏目友人帐》仅是适合在工作疲惫之余看上一两集放松心情的作品。电影版将原本二十分钟即可圆满结束的故事，通过添加毫无趣味的支线的方式注水到一部电影的时长，导致观影体验愈发绵长疲惫，和TV版达到的目的及效果南辕北辙。★★,https://img3.doubanio.com/icon/u76028606-123.jpg
艮艮,4,2019-02-15 15:01:30,娘口三三分裂超级萌，夏目还是一如既往的温柔，中级还是那么搞笑。,https://img1.doubanio.com/icon/u191583109-8.jpg
似水流年,5,2019-03-07 09:12:33,夏目还是那个夏目，而我已不知青春是何物，不出所料的，在影院我羞耻的哭了，曾经被治愈过的那些青春。,https://img3.doubanio.com/icon/u142530230-4.jpg
Edward_lord,5,2018-10-02 12:09:26,还是那个夏目，还是那堆人，猫就更肥了！感动常在！,https://img3.doubanio.com/icon/u164044403-1.jpg
ly温迪201611,4,2019-03-07 09:43:32,很温暖，很治愈。,https://img3.doubanio.com/icon/u165209119-3.jpg
雨花石,4,2019-03-07 10:01:58,日本人对鬼怪的故事更加好奇  人与妖怪之间忙碌生活的夏目   带着忧伤 温暖和禅意的故事  治愈系 还是觉得寂寞 萌萌的 很搞笑,https://img3.doubanio.com/icon/u154871079-1.jpg
荼,5,2018-10-07 16:43:12,"好久没在电影院看哭了。

曲终，电影院灯光亮起，在场半数人都在哭。人的短暂一生，真的是有那么多不可结缘的相遇吗。一如既往的高质量剧本，高质量配乐和配音。妈蛋主题曲太好听了！五星推荐。意外电影院里成年人比较多。旁边坐了位叔叔。 娘口三三恶意卖萌啊！三团子太可爱了！",https://img3.doubanio.com/icon/u14649140-155.jpg
大头绿豆,2,2019-03-07 15:27:29,当前这个分数（8.7）是失真的。虽然我们看的是同一部电影，但TV版粉丝们的给分对象，是他们在过去那么多年里看过的那么多季那么多番，以及他们一起度过的那么多时光。而我的给分对象，不问往事前尘，就是这部电影本身。如果你像我一样，「夏目友人帐」完全是零基础，那么大概也会像我一样，在全片前四分之三那些有头没尾、七零八落的剧情面前，不停问号脸：「看样子导演每一段好像都有很多话要说，但这明明是电影，你怎么可能说得完呢？」加上画风平淡，人脸千篇一律（恕我无法感受到斑老师的萌），这样的体验无疑是令人沮丧的。直到最后，关于遗忘，关于陪伴，关于宿命的变迁，这些主题隐约聚拢的时候，才让我觉得，TV版、动漫版能令那么多人着迷，道理应该在这。,https://img3.doubanio.com/icon/u1000152-23.jpg
鱼头包饼,4,2019-03-07 10:10:52,多年前那种温柔又暖萌的感觉又回来了。,https://img3.doubanio.com/icon/u155684761-3.jpg
徐若风,4,2019-03-07 14:42:50,3.5  因为剧场版的时长，有弊有利。剧本结构出了蛮大问题，第一幕被拉得过长，个别支线无必要，导致观感很倦；但同时，故事的气质和意境是整个六季下来最好的那一类。,https://img3.doubanio.com/icon/u52623934-34.jpg
Reaper,5,2019-01-25 09:14:45,其实不管人还是妖怪，都是很寂寞的啊,https://img3.doubanio.com/icon/u27442548-20.jpg
薰衣草,4,2019-03-07 10:03:39,很萌 治愈系 温暖的夏目,https://img3.doubanio.com/icon/u172570175-4.jpg
Ricky925,4,2018-12-12 20:15:53,把人与人的关系比作高山上流下的瀑布，追求自然流淌和变化是本片的主题。总监督也是TV版的监督，难怪节奏和情绪的把握这么舒服@festival grand cinema,https://img3.doubanio.com/icon/u49326623-40.jpg
懒懒,5,2019-03-07 10:19:41,日漫里的羁绊总是那么感动，夏目还是那么温暖,https://img3.doubanio.com/icon/u172518080-3.jpg
真的,4,2019-03-06 12:21:56,夏目还是那么温柔，三三超级可爱。真的好久没看动画片了。大家真的可以去看。超级好看的,https://img3.doubanio.com/icon/u187725917-1.jpg

西楼尘,3,2019-03-08 09:43:04,人类走路只需20分钟，妖怪穿墙却要三个月；与亲人相伴已有八年，被世界忘记只需一瞬。内向的妖怪总是迟钝，无情的人类往往健忘。没有天眼的普通人看不见相遇瀑布，习得神力的除妖师解不开分别咒语。没有了神却仍然祈祷，没有了爱就只能流浪，离开就被忘记是最残酷的奖赏，化身逝者陪伴是最温柔的神罚。,https://img3.doubanio.com/icon/u49290419-26.jpg
麻辣小龙虾,5,2018-09-29 15:22:26,温柔的夏目，傲娇的娘口三三，可爱的中级们，………好想快点看到你们啊！！！！,https://img3.doubanio.com/icon/u183762314-3.jpg
顾茗清,3,2019-03-07 18:18:24,"其实我一直觉得友人帐传达的从来都不是归属感
而是一种无法解除的疏离感
不论是人与人之间还是人与妖怪之间
从来都是抱团取暖
因为一件小事执着不肯离去
每次看完只是会增加孤独的感觉
别无其他",https://img3.doubanio.com/icon/u154806790-2.jpg
kakakarl,5,2019-03-07 15:29:53,穗之影离去的时候，所有看不见妖怪，并且不会对它产生记忆的人类，都看见了它带来的那一场泡沫飞絮——是夏目这么多年来最有情怀的画面了，这是所有普通人类都看见了妖怪的瞬间，让我泪流满面。,https://img1.doubanio.com/icon/u57273476-18.jpg
焚紙樓,0,2018-12-07 17:52:35,角色外表的年齡表現越來越謎了，祖母的同輩學妹看起來和藤原太太同齡、名取看下來頂多比夏目大幾歲、的場看上去卻比田沼年輕。不，也許真正的癥結是，所有人的臉不分男女都越來越像？,https://img3.doubanio.com/icon/u80722428-35.jpg
莫有,0,2019-03-07 09:42:40,只要有想见的人，就不是孤身一人。这感觉真的很好,https://img3.doubanio.com/icon/u188756432-3.jpg
青柠小主,5,2019-03-07 09:32:26,淡淡的很温暖的感觉，适合一个人看,https://img3.doubanio.com/icon/u172543755-2.jpg
丸子,5,2019-03-07 07:32:43,温柔而美好绝对治愈,https://img3.doubanio.com/icon/u163495919-3.jpg
私～川流,5,2018-12-09 15:02:12,是一个非常好非常暖的故事。,https://img3.doubanio.com/icon/u1237270-133.jpg
iamblue,3,2019-01-20 22:52:25,我觉得节奏太慢了。或许是我自己的心境变了。,https://img1.doubanio.com/icon/user_normal.jpg
放逐,1,2018-10-29 11:47:02,不太喜欢这种“治愈”,https://img3.doubanio.com/icon/u89108137-13.jpg
喜欢猫和橙子,5,2019-03-07 10:10:38,陪朋友来看 没想到意外的好 节奏极度舒适 娓娓道来的感觉 画面好看,https://img3.doubanio.com/icon/u172522844-1.jpg
陈小宝贝儿,5,2019-02-22 00:39:04,那个叫夏目的少年啊，给了我无数个冬天的温暖与夏天的清爽，治愈了我日常中的浮躁与感伤。这部动漫是对当下人世间所欠缺的善良的一种美好期许…,https://img3.doubanio.com/icon/u149244161-1.jpg
好想你好想你好,3,2019-03-06 12:02:08,日本的动画电影很多都是温暖治愈型的，又能给人带来一定的思考,https://img3.doubanio.com/icon/u150315233-1.jpg
泠泠,5,2019-03-08 17:33:40,如果在国内上！一定会争取买首映的！,https://img3.doubanio.com/icon/u158799439-1.jpg
NaphetS,2,2019-03-07 12:39:18,粉丝向电影吧，就像给小孩子看的片一样,https://img1.doubanio.com/icon/u77299465-7.jpg
大阪妞osaka,3,2018-09-29 23:52:50,一如既往的暖，温馨提示娘口三三这次萌到炸裂,https://img3.doubanio.com/icon/u4414007-25.jpg
大大大大笨兔子,2,2019-03-04 00:16:55,就。。。很典型的夏目友人帐的故事,https://img3.doubanio.com/icon/u43498037-1.jpg
MaDsHeep,4,2018-10-05 22:42:05,套路基本上都用過了，但這個番不需要劇情，看你們打打鬧鬧我都很開心。,https://img3.doubanio.com/icon/u131219235-3.jpg
Mr. Infamous,4,2019-03-07 13:01:16,春天来了，在电影里作一场秋天的告别。常绿的是茂密的植被，点着一些晨曦与晚霞，给人与妖怪作清净舒雅的背景，去寻那些过往的错别以及现时的幻影。善良与温存都是闪闪发光的，连带着告别与遗憾也都有了神。这样的感动真是怡然。,https://img3.doubanio.com/icon/u49948621-34.jpg

夜神月的猫,4,2019-03-07 22:24:16,你悄悄的来，正如你悄悄的离开，没带走一片云彩，不经意间，却治愈了我,https://img1.doubanio.com/icon/u54998502-7.jpg
