cursor,author,mid,content,ctime,likes,score,final_watch,date
77086078118973,お葉ク,37137857,很人性化！,1550825801,0,10,看至第1话,2019-02-22 08:56:41
77086078118973,熵的热寂灭,96957352,或许她经常迷路，但她从未迷失方向,1550717438,1,10,看至第1话,2019-02-21 02:50:38
77086078118973,穷の鬼,13871713,想补生物的小伙伴不可错过的番剧,1550776885,0,10,看至第10话,2019-02-21 19:21:25
77086078118973,脑桥念,1902062,轻松搞笑的日常【？,1550748236,0,10,看至Special,2019-02-21 11:23:56
77086078118973,菠萝啊波罗,65093023,还行,1550743570,0,8,看至Special,2019-02-21 10:06:10
77086078118973,皇帝今天不上朝,29791565,我的不混二次元的同学也闻血小板名而来，可喜可贺。但这部番总体来说只是不错，给了四星。,1550743288,0,8,看至第1话,2019-02-21 10:01:28
77086078118973,嘻嘻嘻的挖土机,273977676,仅仅是世界观优秀罢了,1550729434,0,8,看至Special,2019-02-21 06:10:34
77086078118973,神之子12345,34094706,感谢科普,1550718104,0,8,看至第11话,2019-02-21 03:01:44
77086078118973,满城烟火-半城殇,35362280,说实话我感觉这个动漫很不错，但是直到生物老师布置关于这个的手抄报后，兴致全无。,1550717510,0,10,看至第2话,2019-02-21 02:51:50
77086078118973,霓虹若睬,92145467,我永远喜欢白哥！,1550715146,0,10,看至Special,2019-02-21 02:12:26
77073193169084,南風不競,191892505,整体不错，但是说实话，带有科普性质的番都有一个缺点。就是中后期会显比较平淡，这部也是，我对其的新鲜感只保留在了前几集。后面除了癌细胞那一段都不怎么提的起兴趣,1550628470,1,8,看至第11话,2019-02-20 02:07:50
77073193169084,能与君共饮甚喜,173637098,好看，熬夜一次刷完！期待下一季！！,1550700994,0,10,看至Special,2019-02-20 22:16:34
77073193169084,洛徵无忧az,20572861,细胞就是厉害(≧ڡ≦*),1550688331,0,10,看至第8话,2019-02-20 18:45:31
77073193169084,樱丿柒,155484109,挺好看的,1550660937,0,10,看至Special,2019-02-20 11:08:57
77073193169084,釉色千年,19665145,怎么说呢，外行看医学类动漫觉得无聊很正常，不过作为内行真是吹爆，里面的很多细节很科学，用心了！,1550590314,1,10,看至第11话,2019-02-19 15:31:54
77073193169084,JOJO我不做人哒,76069233,生物专业的同学表示非常喜欢(〜￣▽￣)〜,1550585417,0,10,看至第6话,2019-02-19 14:10:17
77073193169084,cnk233,289343143,让我生物进了前十！好片子！,1550566140,1,10,看至幕后SP,2019-02-19 08:49:00
77073193169084,熊小贱233,12321569,超级好评！,1550591112,0,10,看至Special,2019-02-19 15:45:12
77073193169084,心澈若水,25513881,毫无疑问的五星,1550588260,0,10,看至Special,2019-02-19 14:57:40
77073193169084,可攻可受的かの,80123263,这个教育番是真的6,1550580158,0,10,看至Special,2019-02-19 12:42:38
77073193169084,卧卧卧卧槽弟,61481038,画风真的很好看，清新的萌萌的感觉，那些人物......额额不对，是那些细胞给人以难以忘记的印象，比如血小板、红细胞，番剧里面也有很多正能量，而且也给大家科普了生物学，真的是很棒的一部番剧awa,1550562215,0,10,看至第13话,2019-02-19 07:43:35
77073193169084,云蓝星海,19038322,没得说 好看,1550534190,0,10,看至Special,2019-02-18 23:56:30
77073193169084,昵称我还得好好想想,320341560,有趣又有科普的动画,1550506916,0,10,看至第1话,2019-02-18 16:21:56
77073193169084,助手和雷姆都是我的,50120266,满分,1550502073,0,10,看至第1话,2019-02-18 15:01:13
77073193169084,琉妹,935373,看完会觉得要好好珍惜身体,1550501301,0,10,看至Special,2019-02-18 14:48:21
77073193169084,__conio,14126845,单是从观看的目的来说就已经值了5星,1550501270,0,10,看至Special,2019-02-18 14:47:50
77073193169084,一只寒猫,179764541,很有意义，很好看,1550479498,0,10,看至幕后SP,2019-02-18 08:44:58
77073193169084,Ats钦,7854783,好看,1550454817,0,8,看至Special,2019-02-18 01:53:37
77073193169084,轰总的男人,33228764,太好看了。要比国外好过呢。,1550450674,0,10,看至第10话,2019-02-18 00:44:34
77073193169084,苏绿北决,251597702,很新颖的番,1550425157,1,10,看至Special,2019-02-17 17:39:17
77064603187937,犯有中二的小光,40670916,好看,1550424747,0,10,看至Special,2019-02-17 17:32:27
77064603187937,挽歌朽唸,74423129,很好看的番,1550411484,0,10,看至Special,2019-02-17 13:51:24
77064603187937,chouyixia,74192441,很有意义的一部番,1550408969,0,10,看至第7话,2019-02-17 13:09:29
77064603187937,浪仙人流,85537414,加油！,1550406869,0,10,看至Special,2019-02-17 12:34:29
77064603187937,MozartRain,2611687,涨知识，萌，最重要的是：不许在我的身体里谈恋爱！！,1550403033,0,10,看至第7话,2019-02-17 11:30:33
77064603187937,KumaTang,3076358,天啊，白哥太可爱了！！！然后科普向的动漫真的挺好的能巩固知识！！！,1550395499,0,10,看至Special,2019-02-17 09:24:59
77064603187937,敏妍fallyou,94634460,非常好看，红白一家人，血小板卡哇伊,1550383542,0,10,看至幕后SP,2019-02-17 06:05:42
77064603187937,一一不可触及,128747416,用动漫的方式讲述一些知识，挺好,1550319682,1,10,看至Special,2019-02-16 12:21:22
77064603187937,你撑把大纸伞,4937397,轻喜剧的搞笑题材，同月刊少女。,1550309845,1,6,看至第8话,2019-02-16 09:37:25
77064603187937,一碗红豆芋圆,33964628,白细胞帅炸了！,1550309824,1,10,看至第5话,2019-02-16 09:37:04
77064603187937,龙的传人屮,179093223,不知道你们看过《蓝猫健康特工队》没，也是讲的人体内的情况，不过是几年前出的，小时候感觉特别好看，现在缺提不起兴趣了,1550287711,1,10,看至第1话,2019-02-16 03:28:31
